1540812599 25.73 10287.5 
1540812601 25.73 10287.3 
1540812602 25.73 10287.8 
1540812604 25.70 10287.2 
1540812606 25.70 10287.6 
1540812608 25.72 10287.2 
1540812610 25.68 10287.2 
1540812612 25.70 10287.8 
1540812614 25.68 10287.9 
1540812616 25.68 10287.0 
1540812618 25.67 10288.1 
1540812620 25.67 10287.6 
1540812622 25.65 10287.2 
1540812624 25.66 10286.9 
1540812626 25.64 10287.5 
1540812628 25.64 10287.5 
1540812630 25.64 10287.5 
1540812632 25.62 10287.3 
1540812634 25.63 10286.9 
1540812636 25.62 10287.2 
1540812638 25.60 10287.9 
1540812640 25.61 10287.9 
1540812642 25.60 10287.5 
1540812644 25.60 10287.8 
1540812646 25.59 10288.2 
1540812648 25.58 10288.0 
1540812650 25.58 10287.7 
1540812652 25.58 10287.7 
1540812654 25.58 10287.6 
1540812656 25.58 10287.8 
1540812658 25.58 10288.0 
1540812660 25.56 10287.6 
1540812662 25.55 10288.0 
1540812664 25.56 10288.2 
1540812666 25.54 10288.3 
1540812668 25.53 10287.6 
1540812670 25.54 10287.4 
1540812672 25.54 10287.7 
1540812674 25.52 10288.0 
1540812676 25.52 10287.9 
1540812678 25.52 10288.4 
1540812680 25.52 10288.4 
1540812682 25.50 10287.9 
1540812684 25.49 10287.2 
1540812686 25.49 10287.7 
1540812688 25.50 10287.8 
1540812690 25.49 10287.8 
1540812692 25.49 10287.5 
1540812694 25.49 10287.2 
1540812696 25.48 10287.5 
1540812698 25.47 10286.8 
1540812700 25.47 10287.5 
1540812702 25.44 10287.7 
1540812704 25.44 10287.7 
1540812706 25.46 10287.8 
1540812708 25.46 10286.8 
1540812710 25.46 10287.3 
1540812712 25.43 10288.0 
1540812714 25.44 10288.1 
1540812716 25.44 10287.9 
1540812718 25.42 10288.4 
1540812720 25.43 10288.1 
1540812722 25.41 10287.9 
1540812724 25.41 10287.7 
1540812726 25.41 10287.6 
1540812728 25.41 10287.5 
1540812730 25.41 10287.1 
